Easting,Northing,Depth
336942.5,5805477.8,2.721
336942.5,5805472.8,2.4856
336942.5,5805467.8,2.1388
336942.5,5805462.8,2.174
336942.5,5805457.8,2.6173
336942.5,5805452.8,2.8305
